Blog	four	looking	second	here	music	until	want	feature	wrong	series	re	wasn	service	needed	project	came	than	release	result	best	asked	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	san	say	take	ways	going	where	many	wants	photos	technology	being	rest	around	world	favorite	image	her	october	gone	am	original	tv	th	large	small	past	hours	experience	pick	via	company	states	its	always	found	really	research	major	also	play	sometimes	microsoft	set	sex	see	available	last	whole	community	read	recent	person	couple	d	continue	anything	into	link	line	us	ago	having	code	results	try	video	let	great	makes	tools	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	off	less	web	five	become	does	official	chance	worth	announced	above	told	work	interview	after	order	office	them	break	network	created	another	do	away	com	hand	thanks	board	night	comments	post	months	way	update	together	change	live	car	heard	write	product	use	remember	still	now	year	space	shows	care	browser	online	price	only	between	comes	these	media	food	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	takes	help	soon	actually	ceo	beyond	event	issue	reason	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	popular	run	step	within	doesn	e	go	facebook	michael	click	stage	started	point	links	including	special	keep	exactly	need	able	talk	based	she	written	well	page	twitter	home	he	friends	amp	companies	likely	even	ever	never	tell	give	amazing	answer	before	personal	better	weeks	went	side	mean	content	isn	moving	features	matter	seen	don	m	stop	bar	bad	said	against	appeared	three	make	left	just	human	yes	yet	deal	track	down	weekend	show	finally	did	making	may	man	maybe	nbsp	group	interesting	morning	thing	think	fast	little	anyone	were	especially	enough	black	get	nearly	behind	reading	across	according	mark	those	sound	then	different	pay	same	running	money	either	users	videos	general	again	important	u	public	search	two	share	needs	already	through	good	everyone	house	hard	idea	done	least	part	built	build	tool	most	services	find	please	simply	create	understand	talking	fun	itself	source	big	bit	google	often	back	decision	forward	single	later	control	ll	day	text	value	almost	thought	add	happens	buy	minutes	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	got	free	days	key	top	too	took	though	watch	amazon	report	full	however	news	quickly	several	social	everything	security	why	head	hear	check	no	faster	water	iphone	today	information	name	software	turn	place	coming	released	any	sure	state	review	outside	come	case	myself	someone	week	without	seems	blog	oh	there	longer	program	far	list	design	version	problem	short	might	wouldn	number	feel	says	story	kind	added	nothing	his	hit	him	wrote	art	recently	c	due	questions	customers	question	long	called	once	issues	apple	app	few	women	something	six	instead	looks	our	york	their	which	who	class	local	view	stories	job	gets	other	know	press	because	lead	getting	own	apps	made	whether	book
Joho the Blog	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	1	0	0	2	0	0	0	2	1	0	1	0	0	1	0	3	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	2	2	0	0	0	0	0	1	0	1	0	2	0	0	0	0	4	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	1	2	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
ongoing by Tim Bray	0	0	0	2	0	0	2	0	1	0	8	0	0	0	0	1	1	0	0	1	0	1	3	0	3	1	1	0	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	5	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	5	0	0	3	0	0	0	1	0	0	1	4	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	3	0	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
The Viral Garden	5	10	3	26	6	0	34	0	4	9	4	8	5	2	4	1	9	1	3	8	1	8	2	5	6	36	2	1	7	1	73	6	2	1	1	0	25	5	4	1	3	8	0	6	3	14	0	0	1	2	0	1	3	7	7	6	11	15	23	3	0	0	18	0	7	4	2	1	5	1	0	26	1	1	9	3	5	1	4	1	2	9	13	0	12	6	12	9	1	0	10	2	8	0	0	0	24	0	14	1	10	9	5	5	6	6	1	1	10	20	2	16	5	3	1	5	4	0	10	13	3	7	10	1	1	2	2	14	8	7	0	3	0	3	17	2	7	3	0	3	20	11	6	5	1	0	11	5	1	5	1	0	1	3	17	0	8	1	0	50	2	6	7	8	39	3	22	1	2	0	3	23	41	5	28	2	4	3	3	0	1	9	2	20	3	14	22	18	6	2	1	1	8	2	16	2	2	26	122	0	4	2	2	31	13	11	14	7	4	3	1	25	5	0	1	11	3	10	0	0	28	1	10	4	0	0	1	3	8	0	5	11	11	6	8	1	8	1	4	1	7	0	0	2	3	0	15	10	0	3	0	14	6	8	1	1	3	0	8	2	2	0	1	5	14	8	71	1	17	11	3	29	7	18	3	10	11	10	5	2	9	6	10	5	7	1	8	15	7	2	0	2	4	14	16	2	1	3	13	0	0	3	20	9	21	1	1	1	1	1	2	2	5	1	11	4	12	1	4	0	5	4	0	13	30	0	3	0	33	1	5	1	24	0	1	8	0	2	2	10	1	22	4	3	16	0	3	2	10	0	2	3	5	0	0	3	8	8	6	2	4	16	9	0	1	15	3	6	7	0	6	6	24	2	9	3	6	11	13	4	2	7	0	13	8	0	9	19	0	2	3	4	0	17	21	0	11	3	11	10	2	2	1	1	13	1	2	30	0	3	56	1	5	14	5	3	9	6	8	5	4	6	8	5	0	0	0	3	1	1	1	10	134	0	0	24	1	3	7	19	0	0	0	4	6	10	0	2	3	12	1	8	11	1	0	1	7	8	3	14	7	2	3	46	1	41	2	0	1	12	0	0	5	1	7	3	5	2	0	2	0	1	2	8	2	3	6	0	6	0	2	6	19	0	8	4	3	2	1	0	22	0	10	0	5	1	6	2	72	21	15	0	0	5	3	1	1	17	18	0	40	2	7	25	0	7	1	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	2	1	1	1	0	0	2	0	0	0	2	0	1	0	0	6	0	0	2	0	1	5	0	0	0	2	3	4	1	1	1	0	4	1	1	0	2	1	0	2	0	0	0	1	1	0	2	2	0	1	1	0	0	0	2	0	2	0	1	1	4	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	7	0	2	1	0	2	3	3	0	0	4	4	4	0	4	1	0	0	0	1	1	1	0	0	2	0	0	2	2	1	0	1	0	15	2	1	1	0	0	0	0	1	1	0	1	0	1	0	4	1	1	1	1	0	0	0	2	1	3	0	0	0	0	2	0	1	0	0	0	0	2	0	3	1	0	3	0	1	0	3	2	1	6	0	0	0	1	0	3	0	2	0	1	1	2	4	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	0	1	0	1	0	4	1	4	0	0	0	0	0	1	0	0	0	2	4	0	0	1	0	0	0	0	2	3	3	0	0	0	0	1	0	0	2	0	1	5	3	0	0	1	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	3	2	0	1	1	2	0	3	1	0	1	0	0	7	0	0	0	0	5	3	1	1	0	1	0	2	1	0	0	2	2	1	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	2	2	12	2	0	0	3	2	3	0	5	0	2	3	1	4	2	0	1	2	1	0	2	0	1	0	0	0	0	2	4	0	0	0	1	1	0	2	2	2	0	0	0	1	1	0	0	4	0	1	0	3	1	1	0	1	0	0	0	2	2	2	0	0	1	0	7	1	0	3	2	0	0	2	0	0	1	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	3	0	4	2	2	2	5	1	3	0	0	0	1	1	5	1	2	2	0	0	102	0	1	2	0	2	0	1	0	1	2	4	2	1	0	1	0	2	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	1	0	0	3	0	2	0	0	3	1	0	0	0	0	9	0	1	0	0	0	0	0	1	0	0	2	1	2	0	5	3	1	1	2	0	0	1	1	0	3	0	3	0	1	1	1	0	2	2	4	0	3	0	0	0	1	0	0	0
kottke.org	3	3	5	8	6	2	2	0	1	6	13	2	1	1	3	2	10	2	0	9	0	7	1	1	7	8	2	3	1	2	9	1	1	3	1	4	11	1	6	0	0	2	1	4	2	1	1	0	0	1	2	8	0	2	3	3	2	4	5	0	2	1	6	2	4	8	10	2	5	0	4	3	4	1	1	0	0	2	1	4	1	17	1	3	5	2	2	1	1	0	6	0	2	0	1	0	5	3	5	3	0	2	3	0	1	4	0	0	8	0	0	3	1	3	1	0	0	17	0	5	2	0	2	3	2	2	3	6	5	2	0	0	2	2	0	0	1	2	0	0	7	3	1	1	0	3	2	4	0	2	1	0	1	1	5	4	10	4	0	6	0	1	1	1	8	5	0	8	1	5	1	0	1	1	8	3	3	7	0	2	5	1	1	1	3	1	7	2	3	0	2	0	1	0	6	2	1	7	1	6	0	3	1	3	0	0	1	1	2	4	0	6	0	0	2	2	0	2	0	1	0	0	0	1	5	0	1	1	9	1	1	1	4	3	0	4	8	3	1	1	1	0	1	1	2	0	6	0	1	0	1	0	2	0	1	3	0	1	4	1	4	1	4	3	5	0	2	4	11	1	5	1	2	11	2	1	0	1	0	0	3	3	4	0	1	1	1	0	0	1	0	0	2	9	5	0	3	0	2	0	0	6	7	1	14	4	0	3	1	3	2	0	2	1	0	10	3	2	0	210	0	5	0	3	3	0	2	0	10	1	5	0	5	2	0	3	0	0	4	4	14	4	5	0	1	0	1	0	0	1	0	0	1	0	1	1	6	0	2	0	5	6	0	2	2	1	1	0	0	1	1	0	12	0	3	0	1	1	0	1	0	0	0	1	0	1	0	5	0	0	1	2	1	3	15	1	1	2	3	0	1	2	2	2	8	0	0	18	0	3	4	6	2	8	4	0	3	4	3	0	5	4	2	3	1	0	2	5	0	3	0	4	2	3	0	0	0	0	0	6	2	3	1	4	3	1	2	0	1	5	0	7	3	1	1	0	0	0	1	1	3	8	1	1	0	6	0	6	3	2	17	1	4	1	1	0	1	1	1	5	0	0	1	15	0	1	2	2	3	1	2	1	0	0	4	4	3	0	1	1	4	0	2	1	2	4	3	2	15	3	18	5	1	0	4	2	0	5	13	0	5	0	2	3	0	11	2	12
456 Berea Street	0	0	0	2	0	0	4	0	0	0	1	0	0	0	0	0	6	0	0	1	0	1	0	0	1	2	2	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	5	2	1	1	1	0	2	0	0	0	0	0	1	1	1	1	4	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	8	3	1	3	0	0	1	0	4	0	3	0	4	0	1	0	0	10	1	0	2	4	0	0	1	1	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	5	2	1	2	6	0	0	0	1	0	1	0	1	0	2	0	3	1	0	3	0	0	1	1	6	0	0	0	0	0	0	3	3	0	5	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	1	0	1	3	0	0	1	0	0	8	0	0	1	1	0	4	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	6	2	4	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	1	0	0	0	5	0	1	0	0	0	4	0	0	0	1	0	0	0	1	4	2	1	0	1	0	1	2	0	0	0	0	0	0	3	4	0	1	1	1	1	0	1	1	0	0	1	0	1	5	0	2	0	0	0	0	0	4	0	1	0	0	3	5	0	1	0	0	0	0	0	3	0	0	1	3	0	1	0	1	0	1	0	0	1	0	1	0	1	7	0	2	0	0	3	1	0	0	0	1	0	0	0	2	1	2	1	1	2	0	0	0	0	1	3	2	0	0	0	2	0	1	0	0	2	0	0	0	0	1	0	5	0	2	1	0	0	0	0	0	0	0	10	2	0	4	2	2	0	0	0	3	0	0	0	0	0	2	1	0	3	0	2	0	0	1	0	2	3	0	1	0	0	2	12	3	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	1	1	0	0	0	0	0	0	0	7	0	0	0	1	4	2	6	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	3	3	1	3	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0
Signal vs. Noise	0	1	4	5	2	3	11	1	1	0	12	5	2	1	0	4	7	0	0	1	2	3	4	2	5	15	3	0	11	5	10	0	1	0	2	0	10	7	1	2	1	0	6	6	0	8	3	1	7	0	1	1	0	4	4	0	4	10	2	0	0	0	1	2	2	1	0	0	0	0	0	2	0	0	0	1	2	1	1	7	0	0	15	1	10	5	0	4	0	2	3	1	2	3	1	0	2	1	1	3	1	0	0	1	2	8	0	2	9	0	2	1	3	1	1	0	0	2	1	7	2	0	4	3	1	0	2	2	3	6	0	0	2	4	1	2	0	1	0	2	10	0	8	2	0	0	2	1	1	1	0	2	0	2	8	1	8	0	1	9	1	1	0	0	9	3	1	0	2	2	2	0	1	6	5	0	3	4	3	0	1	3	13	2	4	1	11	6	0	0	0	0	0	3	5	0	1	2	0	3	1	3	3	3	9	2	3	5	3	4	1	6	0	1	4	0	1	2	2	0	0	1	0	0	0	1	4	0	3	0	1	1	1	1	2	1	2	2	0	1	2	2	0	0	2	0	8	0	0	0	0	1	5	0	1	0	2	1	6	0	0	0	0	0	3	0	0	4	21	1	0	5	3	3	1	4	6	1	0	5	5	2	4	2	1	2	2	0	8	2	0	1	0	5	9	0	0	1	2	0	0	1	4	0	22	0	1	9	5	2	5	0	0	0	2	9	5	1	2	0	2	2	0	3	2	4	3	1	14	1	3	0	10	0	1	3	0	0	0	4	0	5	3	0	4	3	2	1	4	1	0	3	3	0	0	1	3	2	0	1	7	4	5	0	2	3	0	0	2	6	4	2	7	0	2	1	0	2	0	1	2	0	0	3	3	3	2	7	2	2	0	3	1	13	6	0	1	3	0	0	0	0	2	3	2	10	0	7	0	0	7	6	6	6	2	0	2	2	2	1	1	6	0	3	0	0	0	6	0	1	0	0	0	4	0	2	1	0	4	8	1	0	0	7	0	2	10	1	0	0	1	4	2	1	0	3	5	1	1	5	4	2	0	1	1	13	1	3	4	0	2	6	3	0	0	1	0	3	0	25	2	0	3	24	1	10	2	1	0	0	1	0	7	7	4	1	4	0	2	4	9	0	8	0	2	0	12	1	18	4	13	1	0	0	3	4	1	7	11	2	7	0	7	11	0	1	2	4
Joel on Software	4	0	1	6	0	3	21	14	0	1	23	1	0	2	6	2	16	1	0	1	2	8	1	1	21	11	4	3	4	4	38	0	1	4	3	2	18	11	2	4	2	1	0	6	1	8	2	5	3	10	1	1	1	3	5	2	8	11	7	0	0	1	6	0	10	4	0	3	0	1	2	2	2	0	2	3	4	0	4	1	2	0	8	0	2	3	6	15	0	3	4	0	4	9	1	0	8	4	2	3	1	5	0	1	1	2	4	2	12	0	4	9	0	1	18	0	3	0	5	26	9	6	6	13	1	3	0	4	12	8	15	1	1	5	6	1	2	5	0	2	6	1	6	2	4	2	0	2	0	0	4	0	0	1	19	0	3	1	4	17	3	3	0	0	23	1	0	0	0	15	0	0	4	9	12	1	3	2	1	3	0	2	14	10	1	4	9	6	1	0	2	0	2	1	5	4	1	7	0	1	2	2	2	16	8	1	12	7	1	5	3	8	0	2	0	5	2	10	1	0	1	0	1	2	0	0	0	4	1	1	1	1	2	9	4	7	9	6	4	0	2	1	5	1	9	0	10	0	2	2	2	3	7	0	0	0	5	2	14	3	1	2	0	2	4	1	2	1	1	0	1	12	3	16	2	10	3	2	1	4	5	0	8	1	2	3	1	0	1	0	15	3	2	18	5	4	1	5	2	0	0	9	16	1	17	1	2	1	0	0	6	0	0	0	4	5	7	0	3	18	1	2	0	8	8	3	8	2	11	1	3	0	27	2	0	2	0	0	0	9	1	7	9	11	4	3	18	4	7	0	0	0	1	0	4	6	12	0	2	7	3	5	4	0	5	7	3	1	2	2	6	1	12	0	10	1	1	1	3	1	0	2	8	9	8	3	3	4	2	0	3	1	8	8	10	0	6	3	6	7	1	4	4	1	23	0	0	9	1	1	10	1	2	8	4	5	10	11	4	0	1	8	1	4	1	1	1	2	0	3	1	2	2	11	2	7	0	3	1	6	1	2	5	7	0	0	40	1	0	1	0	17	7	0	1	2	5	3	1	1	1	5	1	5	2	21	0	1	0	6	2	10	1	3	14	1	5	4	1	2	9	3	0	0	1	1	1	16	1	0	0	0	6	2	5	8	2	0	1	3	7	0	9	3	0	1	14	0	17	28	11	5	0	2	0	15	1	10	9	0	13	2	7	4	0	4	1	0
Boing Boing	0	0	2	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	1	0	0	18	1	5	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	3	0	0	2	0	2	0	0	0	0	0	2	5	0	2	0	0	2	0	2	0	1	0	1	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	4	3	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	4	2	0	1	0	0	0	0	0	1	1	0	1	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	4	1	0	1	0	1	0	2	0	0	1	3	0	0	0	0	1	0	0	2	0	0	2	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	3	1	1	0	0	6	0	0	0	0	3	2	1	0	0	1	0	0	0	0	1	0	0
flagrantdisregard	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	1	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	3	5	0	5	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Pharyngula	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	2	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
